"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"SP","164392","7 Oct 2015","B","161",""
"MS","165341","21 Jul 2015","U","161","Y"
"MS","163699","30 Jan 2015","Y","162","Y"
"MS","164215","6 May 2015","N","162","N"
"VISAGE","164376","14 Apr 2015","Y","162","Y"
"VISAGE","164355","14 Apr 2015","Y","163","Y"
"MS","164364","14 Apr 2015","Y","163","Y"
"SPECTRUM","164399","22 Jun 2015","N","164","N"
"ACCS","165604","5 Oct 2015","Y","164",""
"MS","163817","18 Mar 2015","N","165","N"
"MS","164879","11 Jun 2015","N","165","N"
"UNIVERSE","301879","8 May 2015","N","165","N"
"MS","161145","2 Oct 2015","N","166","N"
"MS","163738","15 Jul 2015","N","166","N"
"SP","163753","11 Feb 2015","U","166","Y"
"INFORMER","163754","11 Feb 2015","U","166","Y"
"MS","164286","26 Jun 2015","B","166","N"
"MS","165590","28 Aug 2015","Y","166","Y"
"VISAGE","166437","10 Nov 2015","R","166",""
"MS","167040","3 Dec 2015","Y","166","Y"
"MS","164904","26 Aug 2015","N","167","N"
"MS","168974","11 Sep 2015","U","167",""
"MS","163132","27 Mar 2015","N","169",""
"MS","164557","14 May 2015","U","169",""
"MS","165376","6 Aug 2015","N","170","N"
"SP","166907","26 Nov 2015","Y","170","Y"
"UNIVERSE","301898","4 Nov 2015","N","172","N"
"MS","163431","16 Jan 2015","N","174","N"
"MS","163764","8 Apr 2015","N","175","N"
"MS","163985","9 Jun 2015","N","175","N"
"MS","166772","24 Nov 2015","U","175","Y"
"MS","163437","10 Mar 2015","Y","176",""
"MS","164038","27 Mar 2015","N","176","N"
"MS","164328","29 Jun 2015","N","176","N"
"MS","165556","22 Sep 2015","R","176",""
"SP","166044","27 Nov 2015","U","178",""
"MS","163135","19 May 2015","Y","179",""
"MS","163388","13 Mar 2015","Y","179","N"
"MS","163394","22 Apr 2015","N","179","N"
"MS","163698","24 Feb 2015","Y","179","Y"
"MS","164144","20 Apr 2015","N","179","N"
"MS","164535","11 Jun 2015","N","179","N"
"MS","167035","22 Dec 2015","Y","180","Y"
"MS","163602","10 Mar 2015","N","181","N"
"SP","166515","17 Dec 2015","U","181",""
"MS","164750","28 Jul 2015","R","182","N"
"PWF","165079","27 Jul 2015","Y","182","Y"
"MS","165304","9 Sep 2015","N","182","N"
"MS","161157","18 Feb 2015","Y","183","N"
"MS","164836","1 Jul 2015","Y","183","N"
"MS","161750","12 Oct 2015","N","184","N"
"MS","164187","27 Apr 2015","N","186","N"
"MS","166908","22 Dec 2015","Y","188","Y"
"MS","165586","30 Sep 2015","Y","189","Y"
"MS","163066","24 Jun 2015","Y","190",""
"MS","165402","4 Sep 2015","U","190","Y"
"MS","164723","21 Aug 2015","N","192",""
"MS","165641","8 Oct 2015","R","192","N"
"MS","163996","17 Apr 2015","N","193","N"
"ACCS","165269","4 Dec 2015","Y","193",""
"MS","163831","29 Oct 2015","R","194","N"
"MS","166628","10 Dec 2015","N","194","N"
"MS","165640","2 Dec 2015","U","197","N"
"MS","164299","10 Jun 2015","N","199","N"
"MS","164629","9 Jul 2015","N","201","N"
"MS.WEB","164254","16 Jun 2015","U","202",""
"MS","166233","10 Dec 2015","N","203","N"
"MS","163775","10 Apr 2015","N","206","N"
"MS","164174","24 Jul 2015","Y","206","N"
"MS","164685","22 Jul 2015","Y","208","Y"
"SP","166182","7 Dec 2015","U","208",""
"CONS","167958","6 Aug 2015","Y","209",""
"MS","162186","21 Jan 2015","N","210","N"
"MS","163524","29 May 2015","R","210","N"
